DATE,AUD,CAD,CHF,EUR,GBP,JPY,NOK,NZD,SEK,USD
2018-02-16,0.79125,1.2557,0.9278,1.2406,1.40425,106.315,7.780900000000001,0.7389,7.9681999999999995,1.0
2018-02-15,0.79455,1.2478,0.9221,1.2506,1.40985,106.125,7.7658000000000005,0.7408,7.9292,1.0
2018-02-14,0.79255,1.249,0.9291499999999999,1.245,1.3998,107.015,7.798,0.737,7.95565,1.0
2018-02-13,0.78595,1.2592,0.9348000000000001,1.2352,1.3892,107.82499999999999,7.872199999999999,0.7274,8.0276,1.0
2018-02-12,0.78605,1.2575,0.9392499999999999,1.2292,1.38375,108.655,7.91425,0.72635,8.0644,1.0
2018-02-09,0.78145,1.2578,0.9400999999999999,1.2235,1.38375,108.795,7.966799999999999,0.7246,8.1028,1.0
2018-02-08,0.778,1.2603,0.9359999999999999,1.2247,1.39135,108.745,7.9251000000000005,0.7217,8.1186,1.0
2018-02-07,0.78235,1.2569,0.9436,1.2264,1.3881999999999999,109.325,7.9062,0.7239,8.0828,1.0
2018-02-06,0.79065,1.2491500000000002,0.9359999999999999,1.2377,1.39485,109.565,7.815799999999999,0.7342,7.9514,1.0
2018-02-05,0.7878000000000001,1.2539,0.9315,1.2367499999999998,1.3958499999999998,109.105,7.8370999999999995,0.7264999999999999,7.9808,1.0
2018-02-02,0.79225,1.2426,0.93125,1.24615,1.41225,110.105,7.7336,0.73025,7.9048,1.0
2018-02-01,0.8039000000000001,1.2268,0.9263,1.251,1.4264999999999999,109.405,7.6419999999999995,0.7398,7.8402,1.0
2018-01-31,0.8055,1.2315,0.9314,1.2421,1.4192,109.185,7.7125,0.7364999999999999,7.8788,1.0
2018-01-30,0.8083,1.2334,0.93425,1.2402,1.41465,108.775,7.7223,0.7331,7.8908000000000005,1.0
2018-01-29,0.80945,1.23385,0.9375,1.2382499999999999,1.4074499999999999,108.955,7.7115,0.7322,7.8919,1.0
2018-01-26,0.81115,1.2311,0.9337,1.2421,1.4170500000000001,108.715,7.6906,0.7355499999999999,7.8751999999999995,1.0
2018-01-25,0.80305,1.2382,0.9411,1.2396500000000001,1.41465,109.405,7.7435,0.7326,7.9216999999999995,1.0
2018-01-24,0.80615,1.2349,0.9453,1.2408000000000001,1.4243000000000001,109.225,7.7526,0.73375,7.927,1.0
2018-01-23,0.79985,1.2416,0.95765,1.2299,1.4001000000000001,110.305,7.8233,0.7354499999999999,8.007,1.0
2018-01-22,0.80175,1.2444,0.96185,1.2262,1.3987500000000002,110.92,7.852399999999999,0.7328,8.0203,1.0
2018-01-19,0.79925,1.2489,0.963,1.22215,1.3851499999999999,110.775,7.867800000000001,0.7277,8.0438,1.0
2018-01-18,0.8,1.2418,0.9589,1.22385,1.3893,111.11,7.8472,0.7302,8.0199,1.0
2018-01-17,0.79695,1.2436,0.96565,1.21855,1.3827,111.285,7.87745,0.7273000000000001,8.050799999999999,1.0
2018-01-16,0.7961,1.2435,0.9596,1.2260499999999999,1.3792499999999999,110.455,7.8733,0.7267,8.0388,1.0
2018-01-15,0.7965,1.2429000000000001,0.9631000000000001,1.2263,1.3792,110.53999999999999,7.8808,0.7301,8.0132,1.0
2018-01-12,0.79125,1.2457,0.9682,1.2187000000000001,1.37295,111.03999999999999,7.925599999999999,0.7256,8.0475,1.0
2018-01-11,0.7891,1.2519,0.9759,1.2032,1.3538000000000001,111.255,8.0146,0.7261,8.1324,1.0
2018-01-10,0.7843,1.2547,0.9783,1.1947,1.3507,111.435,8.0722,0.7198,8.2009,1.0
2018-01-09,0.78235,1.2464,0.9834,1.1937,1.354,112.655,8.102699999999999,0.7161,8.2301,1.0
2018-01-08,0.7841,1.2421,0.9771,1.1966999999999999,1.3568,113.095,8.07765,0.7176,8.1997,1.0
2018-01-05,0.7864,1.2409,0.9752000000000001,1.203,1.35705,113.08,8.049,0.7169,8.143799999999999,1.0
2018-01-04,0.7864,1.24865,0.9746,1.2068,1.3553,112.75,8.0659,0.7155,8.1375,1.0
2018-01-03,0.7836,1.2533500000000002,0.9771,1.2014,1.35155,112.505,8.104800000000001,0.7092,8.1779,1.0
2018-01-02,0.783,1.2513,0.9716,1.2059,1.3588,112.295,8.1278,0.7105,8.168,1.0
2018-01-01,0.7805,1.2544499999999998,0.9745,1.201,1.3503500000000002,112.655,8.199100000000001,0.71055,8.2027,1.0
2017-12-29,0.7802,1.2579,0.97435,1.1998,1.3514499999999998,112.685,8.2095,0.7087,8.2032,1.0
2017-12-28,0.7797499999999999,1.2569,0.9786,1.1943,1.34435,112.885,8.2514,0.7089,8.2456,1.0
2017-12-27,0.7767999999999999,1.2655,0.9863,1.1888,1.3397000000000001,113.355,8.271,0.7061,8.2762,1.0
2017-12-26,0.7728,1.2690000000000001,0.9891,1.1858499999999998,1.3374,113.235,8.3104,0.7039,8.3484,1.0
2017-12-25,0.7717,1.2729,0.9885999999999999,1.1869,1.3369,113.275,8.31335,0.7021999999999999,8.3411,1.0
2017-12-22,0.77165,1.2732999999999999,0.9893000000000001,1.1858499999999998,1.3362500000000002,113.27000000000001,8.3275,0.7022999999999999,8.3264,1.0
