DATE,SPY
2010-08-04,113.035
2010-08-05,112.89500000000001
2010-08-06,112.47
2010-08-09,113.03
2010-08-10,112.46000000000001
2010-08-11,108.955
2010-08-12,108.48
2010-08-13,108.195
2010-08-16,108.285
2010-08-17,109.495
2010-08-18,109.295
2010-08-19,107.71000000000001
2010-08-20,107.67
2010-08-23,107.095
2010-08-24,105.535
2010-08-25,106.1
2010-08-26,104.935
2010-08-27,106.82499999999999
2010-08-30,105.07499999999999
2010-08-31,105.74000000000001
2010-09-01,108.655
2010-09-02,109.535
2010-09-03,110.92
2010-09-07,109.66499999999999
2010-09-08,110.485
2010-09-09,110.875
2010-09-10,111.555
2010-09-13,112.735
2010-09-14,112.44999999999999
2010-09-15,113.14500000000001
2010-09-16,113.35499999999999
2010-09-17,112.455
2010-09-20,114.04
2010-09-21,113.89500000000001
2010-09-22,113.58500000000001
2010-09-23,112.505
2010-09-24,114.82
2010-09-27,114.255
2010-09-28,114.725
2010-09-29,114.49000000000001
2010-09-30,114.1
2010-10-01,114.775
2010-10-04,113.975
2010-10-05,115.935
2010-10-06,116.10499999999999
2010-10-07,116.08500000000001
2010-10-08,116.61500000000001
2010-10-11,116.725
2010-10-12,116.97
2010-10-13,117.89500000000001
2010-10-14,117.945
2010-10-15,117.975
2010-10-18,117.775
2010-10-19,116.795
2010-10-20,118.03
2010-10-21,117.965
2010-10-22,118.475
2010-10-25,118.67500000000001
2010-10-26,118.85499999999999
2010-10-27,118.305
2010-10-28,118.42500000000001
2010-10-29,118.39
2010-11-01,118.71
2010-11-02,119.735
2010-11-03,120.16499999999999
2010-11-04,122.285
2010-11-05,122.765
2010-11-08,122.36
2010-11-09,121.465
2010-11-10,121.775
2010-11-11,121.515
2010-11-12,120.025
2010-11-15,119.845
2010-11-16,118.125
2010-11-17,118.285
2010-11-18,120.17500000000001
2010-11-19,120.36500000000001
2010-11-22,120.11
2010-11-23,118.315
2010-11-24,120.08500000000001
2010-11-26,118.81
2010-11-29,119.19
2010-11-30,118.285
2010-12-01,120.88499999999999
2010-12-02,122.735
2010-12-03,123.015
2010-12-06,122.66499999999999
2010-12-07,122.735
2010-12-08,123.43
2010-12-09,123.725
2010-12-10,124.58
2010-12-13,124.595
2010-12-14,124.67500000000001
2010-12-15,124.28999999999999
2010-12-16,124.875
2010-12-17,124.16499999999999
2010-12-20,124.475
2010-12-21,125.32
2010-12-22,125.765
2010-12-23,125.69
2010-12-27,125.705
2010-12-28,125.725
2010-12-29,125.99000000000001
2010-12-30,125.83
2010-12-31,126.015
2011-01-03,126.88499999999999
2011-01-04,126.92
2011-01-05,127.505
2011-01-06,127.36
2011-01-07,127.185
2011-01-10,126.91
2011-01-11,127.38499999999999
2011-01-12,128.685
2011-01-13,128.57999999999998
2011-01-14,129.34
2011-01-18,129.975
2011-01-19,128.22
2011-01-20,128.025
2011-01-21,128.325
2011-01-24,129.14
2011-01-25,129.09
2011-01-26,129.73000000000002
2011-01-27,129.905
2011-01-28,127.495
2011-01-31,128.655
2011-02-01,130.615
2011-02-02,130.445
2011-02-03,130.765
2011-02-04,131.085
2011-02-07,131.865
2011-02-08,132.56
2011-02-09,132.265
2011-02-10,132.03
2011-02-11,133.2
2011-02-14,133.085
2011-02-15,133.035
2011-02-16,133.755
2011-02-17,134.195
2011-02-18,134.585
2011-02-22,131.85500000000002
2011-02-23,131.055
2011-02-24,130.64499999999998
2011-02-25,132.245
2011-02-28,133.095
2011-03-01,130.37
2011-03-02,131.065
2011-03-03,133.39499999999998
2011-03-04,132.465
2011-03-07,131.34
2011-03-08,132.45999999999998
2011-03-09,132.04500000000002
2011-03-10,129.77
2011-03-11,131.0
2011-03-14,130.085
2011-03-15,128.49
2011-03-16,126.48
2011-03-17,127.625
2011-03-18,127.725
2011-03-21,129.615
2011-03-22,129.215
2011-03-23,129.53
2011-03-24,130.835
2011-03-25,131.47
2011-03-28,130.74
2011-03-29,132.125
2011-03-30,132.805
2011-03-31,132.525
2011-04-01,133.155
2011-04-04,133.435
2011-04-05,133.10000000000002
2011-04-06,133.39
2011-04-07,133.285
2011-04-08,132.845
2011-04-11,132.43
2011-04-12,131.24
2011-04-13,131.36
2011-04-14,131.47
2011-04-15,132.185
2011-04-18,130.45499999999998
2011-04-19,131.63
2011-04-20,133.56
2011-04-21,133.64499999999998
2011-04-25,133.59
2011-04-26,134.5
2011-04-27,135.57999999999998
2011-04-28,135.95
2011-04-29,136.615
2011-05-02,136.245
2011-05-03,135.56
2011-05-04,134.89499999999998
2011-05-05,133.97
2011-05-06,133.995
2011-05-09,134.825
2011-05-10,135.86
2011-05-11,134.315
2011-05-12,135.225
2011-05-13,133.885
2011-05-16,132.745
2011-05-17,133.14999999999998
2011-05-18,134.365
2011-05-19,134.665
2011-05-20,133.45999999999998
2011-05-23,131.99
2011-05-24,131.76
2011-05-25,132.14999999999998
2011-05-26,133.185
2011-05-27,133.59500000000003
2011-05-31,135.0
2011-06-01,131.815
2011-06-02,131.8
2011-06-03,130.235
2011-06-06,129.04500000000002
2011-06-07,129.095
2011-06-08,128.135
2011-06-09,129.26
2011-06-10,127.535
2011-06-13,127.785
2011-06-14,129.335
2011-06-15,127.205
2011-06-16,127.465
2011-06-17,126.985
2011-06-20,127.775
2011-06-21,129.215
2011-06-22,128.495
2011-06-23,128.215
2011-06-24,126.775
2011-06-27,128.215
2011-06-28,129.765
2011-06-29,130.835
2011-06-30,131.87
2011-07-01,133.93
2011-07-05,134.085
2011-07-06,134.22
2011-07-07,135.635
2011-07-08,134.66
2011-07-11,132.26
2011-07-12,131.535
2011-07-13,131.79500000000002
2011-07-14,131.16
2011-07-15,131.985
2011-07-18,130.665
2011-07-19,132.875
2011-07-20,132.32
2011-07-21,134.815
2011-07-22,134.59
2011-07-25,133.825
2011-07-26,133.05
2011-07-27,130.445
2011-07-28,130.345
2011-07-29,129.45999999999998
2011-08-01,128.425
2011-08-02,125.36500000000001
2011-08-03,126.025
2011-08-04,120.185
2011-08-05,119.76
2011-08-08,111.82499999999999
2011-08-09,117.485
2011-08-10,113.02000000000001
2011-08-11,117.35
2011-08-12,118.35499999999999
2011-08-15,120.31
2011-08-16,119.655
2011-08-17,119.36500000000001
2011-08-18,114.83
2011-08-19,112.785
2011-08-22,112.83500000000001
2011-08-23,116.47
2011-08-24,117.645
