DATE,SDY
2010-09-23,49.17
2010-09-24,50.195
2010-09-27,49.99
2010-09-28,50.22
2010-09-29,50.24500000000001
2010-09-30,50.195
2010-10-01,50.44
2010-10-04,50.295
2010-10-05,51.175
2010-10-06,51.185
2010-10-07,51.14
2010-10-08,51.27500000000001
2010-10-11,51.38
2010-10-12,51.34
2010-10-13,51.78
2010-10-14,51.695
2010-10-15,51.74
2010-10-18,51.705
2010-10-19,51.28
2010-10-20,51.675
2010-10-21,51.455
2010-10-22,51.52500000000001
2010-10-25,51.585
2010-10-26,51.31999999999999
2010-10-27,50.97
2010-10-28,51.02500000000001
2010-10-29,51.040000000000006
2010-11-01,51.05
2010-11-02,51.59
2010-11-03,51.71
2010-11-04,52.31999999999999
2010-11-05,52.29
2010-11-08,51.965
2010-11-09,51.78
2010-11-10,51.835
2010-11-11,51.64
2010-11-12,51.19
2010-11-15,51.38
2010-11-16,50.46
2010-11-17,50.545
2010-11-18,51.105
2010-11-19,51.1
2010-11-22,51.25
2010-11-23,50.595
2010-11-24,51.34
2010-11-26,51.23
2010-11-29,50.86
2010-11-30,50.58
2010-12-01,51.425
2010-12-02,51.545
2010-12-03,51.38
2010-12-06,51.13
2010-12-07,51.040000000000006
2010-12-08,51.12000000000001
2010-12-09,51.14
2010-12-10,51.53
2010-12-13,51.73
2010-12-14,51.975
2010-12-15,51.94
2010-12-16,52.26000000000001
2010-12-17,51.74
2010-12-20,51.805
2010-12-21,51.915
2010-12-22,52.23
2010-12-23,52.465
2010-12-27,52.045
2010-12-28,52.2
2010-12-29,52.19
2010-12-30,52.13500000000001
2010-12-31,52.04
2011-01-03,52.38500000000001
2011-01-04,52.005
2011-01-05,52.045
2011-01-06,52.035
2011-01-07,51.735
2011-01-10,51.655
2011-01-11,51.775
2011-01-12,52.175
2011-01-13,52.24
2011-01-14,52.23
2011-01-18,52.65
2011-01-19,52.295
2011-01-20,52.16
2011-01-21,52.08
2011-01-24,52.235
2011-01-25,52.445
2011-01-26,52.58
2011-01-27,52.695
2011-01-28,52.035
